row,col,x,y,watershed,line,n_holes,block_grade_c_per_cuyd,held_out_mpm,economic_at_headline_cutoff
324,244,-544287.5,1668062.5,37,CC,5,14.287,0.01667,1
336,215,-545012.5,1667762.5,37,AA,1,1.365,0.02,0
336,217,-544962.5,1667762.5,37,AA,1,1.656,0.05333,0
338,235,-544512.5,1667712.5,37,AA,1,132.073,0.1,1
338,240,-544387.5,1667712.5,37,A,1,14.196,0.03,1
339,242,-544337.5,1667687.5,37,,2,81.88,0.00667,1
339,244,-544287.5,1667687.5,37,AA,1,15.687,0.04,1
339,246,-544237.5,1667687.5,37,AA,1,4.381,0.00333,0
339,248,-544187.5,1667687.5,37,AA,1,43.225,0.00667,1
339,249,-544162.5,1667687.5,37,AA,1,157.732,0.02333,1
341,221,-544862.5,1667637.5,37,CC,4,9.152,0.04,0
341,229,-544662.5,1667637.5,37,BB,1,12.099,0.01,1
342,227,-544712.5,1667612.5,37,BB,1,34.389,0.01,1
343,243,-544312.5,1667587.5,37,BB,1,7.972,0.02,0
343,246,-544237.5,1667587.5,37,BB,1,200.474,0.0,1
344,217,-544962.5,1667562.5,37,B,1,2.229,0.02,0
344,219,-544912.5,1667562.5,37,BB,1,13.309,0.03,1
344,252,-544087.5,1667562.5,37,BB,1,33.588,0.01667,1
345,248,-544187.5,1667537.5,37,B,5,31.562,0.00667,1
346,237,-544462.5,1667512.5,37,CC,4,53.534,0.08333,1
346,270,-543637.5,1667512.5,37,,1,50.848,0.01,1
360,234,-544537.5,1667162.5,37,EE,8,47.23,0.19667,1
369,231,-544612.5,1666937.5,37,EE,3,10.478,0.10667,1
