dataset,scope,arm,auc_district,auc_in_box,auc_delta_vs_base
placer_onshore,in_box,base,0.6785769230769231,,
placer_onshore,in_box,kg_present,0.970173076923077,,0.292
placer_onshore,in_box,kg_spatial,0.9228000000000001,,0.244
placer_onshore,in_box,kg,0.9878692307692307,,0.309
placer_onshore,in_box,prose,0.9814653846153845,,0.303
placer_onshore,in_box,kg_prose,0.9857230769230769,,0.307
placer_onshore,in_box,kg_label,0.9881461538461538,,0.31
lode_inbox,in_box,base,0.805925,,
lode_inbox,in_box,kg_present,0.9870583333333334,,0.181
lode_inbox,in_box,kg_spatial,0.8826750000000001,,0.077
lode_inbox,in_box,kg,0.9966833333333334,,0.191
lode_inbox,in_box,prose,0.984375,,0.178
lode_inbox,in_box,kg_prose,0.9905333333333333,,0.185
lode_inbox,in_box,kg_label,0.9983333333333334,,0.192
lode_district,district,base,0.6330591397849462,0.7370558375634519,
lode_district,district,kg_present,0.9625752688172043,0.9862944162436549,0.33
lode_district,district,kg_spatial,0.9739802867383512,0.9353637901861253,0.341
lode_district,district,kg,0.9700340501792114,0.9949238578680203,0.337
lode_district,district,prose,0.9677455197132617,0.9842639593908629,0.335
lode_district,district,kg_prose,0.9663835125448029,0.9895939086294416,0.333
lode_district,district,kg_label,0.9662616487455197,0.9930626057529611,0.333
