ardf_num,site,quad_250,model_code,comm_main,production,elev_m,geol_type,type_basis,coarseness_rank,narrative_head
BN099,Ophir Creek,BN,39a,Au,Yes; medium,71.11753845214844,alluvial-stream,name:creek,,"Ophir Creek is the most important producer of placer gold in the Council district.  The majority of the 707,000 ounces of gold production recorded for the Council district probably came from Ophir Creek (Hudson and DeYoung, 1978).  Placer g"
BN101,Balm Of Gilead Gulch,BN,39a,Au,Yes; small,124.1923599243164,alluvial-stream,name:gulch,,"Detrital gold was recovered from fractures and crevices in limestone (marble) bedrock.  The gold-bearing bedrock was covered by 5 feet of soil (Collier and others, 1908).  Bedrock in the area is metasedimentary schist and marble of a Lower "
BN102,Crooked Creek,BN,39a,Au,Yes; small,114.6378402709961,alluvial-stream,name:creek,3.0,"Stream gravels of Crooked Creek merge with floodplain deposits of Ophir Creek where the pay streak was 250 feet wide, 6 feet thick, and contained 0.22 ounces Au per cubic yard (Collier and others, 1908; Smith and Eakin, 1911). The pay strea"
BN103,Albion Creek,BN,39a,Au,Yes; small,132.39503479003906,alluvial-stream,name:creek,,"Placer gold mining, including dredging, has taken place along at least the lower 2,000 feet of Albion Creek as well as on the slope along the north bank up to 100 feet in elevation above the creek.  The placer deposit above the creek was ca"
BN105,Goldbottom Creek,BN,39a,Au,Yes; small,104.24366760253906,alluvial-stream,name:creek,3.0,"Collier and others (1908) report that 3 feet of schist gravel (covered by 2 feet of sod and muck) from a claim near the head of Goldbottom Creek., was shovelled into a sluice and fine, angular gold was recovered.   This description could in"
BN106,Upper Ophir Creek,BN,39a,Au,Yes; small,121.83786010742188,alluvial-stream,name:creek,,"The Bendeleben A-4 topographic map shows placer mine workings over about 1,000 feet of the Ophir Creek just downstream from its confluence with Flat Creek.  This may be the location referred to by Smith and Eakin (1911) as the bench at the "
BN107,Oxide Creek,BN,39a,Au,Yes; small,173.19044494628906,alluvial-stream,name:creek,,"There is only one early report (Collier and others, 1908, p. 244) of placer gold being produced on this creek (Cobb, 1975, OFR 75-429). Some small scale surface placer workings may be present. Placer Au-PGE (Cox and Singer, 1986; model 39a)"
SO004,Koyana Creek,SO,39a,Au,Yes; small,39.02042770385742,alluvial-stream,name:creek,,"Small-scale placer mining took place on Koyana Creek in the early part of the 1900s (Collier, 1908) and between 1928 and 1930 (Cobb, 1978). The placer deposits were shallow and apparently low grade. Mulligan (1971) estimates that less than "
SO005,Swede Creek,SO,39a,Au,Yes; small,44.18646240234375,alluvial-stream,name:creek,,"Placer gold was discovered on Swede Creek between 1900 and 1902 (Collier and others, 1908) but most mining was between 1918 and WW II (Mulligan, 1971). The placer workings were shallow and extended 600 feet   upstream from the steep sea cli"
SO006,Daniels Creek,SO,39a,Au,Yes; medium,48.42567443847656,alluvial-stream,name:creek,,"Placer gold was discovered in beach sand at the mouth of Daniels Creek in 1899 but within a year the beach placer was largely mined out (Brooks and others, 1901; Mulligan, 1971).  Placer gold was soon discovered on Daniels Creek but little "
