ardf_num,site,model_code,comm_main,elev_m,geol_type,type_basis,coarseness_rank,contact,straight,downch_snapped
NM172,Monument Creek; Poorman Bench,39a,Au,88.60913848876953,alluvial-stream,name:creek,,,1931.13427734375,
NM185,Russel Creek,39a,Au,141.4788818359375,alluvial-stream,name:creek,,,2235.697021484375,
NM205,Lindblom Creek,39a,Au,41.7310905456543,alluvial-stream,name:creek,,333.5415954589844,467.0353698730469,
NM209,Rock Creek (placer),39a,Au,86.96943664550781,alluvial-stream,name:creek,3.0,956.8829345703125,119.02749633789062,
NM210,Rock Creek (bench placer),39a,Au,73.31037139892578,alluvial-stream,name:creek,,822.34423828125,133.4400634765625,
NM215,Walsh Cut (alluvial placer),39a,Au,86.96943664550781,alluvial-stream,name:cut,,956.8829345703125,119.02749633789062,
NM218,Ullrich (Judy and Deb Bench claims),39a,Au,106.01720428466797,alluvial-stream,name:bench,,1005.6092529296875,643.939453125,
NM219,Hot Air Bench (Columbia Mine),39a,Au,49.43424987792969,alluvial-stream,name:bench,1.0,302.0761413574219,101.09256744384766,110.35533905029297
NM220,Glacier Creek (includes Bonanza and Bergstrom Gulches),39a,Au,30.63284683227539,alluvial-stream,name:creek,2.0,176.77670288085938,690.8765258789062,751.7766723632812
NM222,Snow Gulch,39a,Au,66.94711303710938,alluvial-stream,name:gulch,,522.0153198242188,582.4368286132812,457.84271240234375
NM229,Jorgensen; Mountain Creek; Mary's Gulch,"36a, 39a",Au,67.95948028564453,alluvial-stream,name:creek,1.0,70.71067810058594,725.9149169921875,
NM236,Anvil Creek,39a,Au,41.64463806152344,alluvial-stream,name:creek,3.0,403.1128845214844,1036.5665283203125,2003.8582763671875
NM238,Caribou Bill,39a,Au,153.0240936279297,alluvial-stream,"narrative:alluvial=5,marine=0,glacial=1,residual=0",3.0,2325.53759765625,789.1954345703125,
NM239,Madeline; Mattie (upper workings),39a,Au,184.76690673828125,alluvial-stream,"narrative:alluvial=6,marine=0,glacial=1,residual=0",,2087.1630859375,579.3344116210938,
NM240,Mattie (lower workings),39a,Au,178.4886474609375,alluvial-stream,"narrative:alluvial=5,marine=0,glacial=1,residual=0",,2101.93359375,566.4788208007812,
NM241,Snowflake,39a,Au,177.71588134765625,alluvial-stream,"narrative:alluvial=5,marine=0,glacial=1,residual=0",3.0,1802.775634765625,386.39971923828125,
