ardf_num,site,model_code,comm_main,elev_m,geol_type,type_basis,coarseness_rank,areal,contact_dox,contact_clean,straight,contact_pre
NM172,Monument Creek; Poorman Bench,39a,Au,88.60913848876953,alluvial-stream,name:creek,,0.0,5770.90869140625,26337.150390625,1931.13427734375,
NM185,Russel Creek,39a,Au,141.4788818359375,alluvial-stream,name:creek,,0.0,5665.3310546875,26583.08984375,2235.697021484375,
NM205,Lindblom Creek,39a,Au,41.7310905456543,alluvial-stream,name:creek,,0.0,5043.77587890625,22185.224609375,467.0353698730469,333.5415954589844
NM209,Rock Creek (placer),39a,Au,86.96943664550781,alluvial-stream,name:creek,3.0,0.0,3363.762939453125,21597.984375,119.02749633789062,956.8829345703125
NM210,Rock Creek (bench placer),39a,Au,73.31037139892578,alluvial-stream,name:creek,,0.0,3678.355224609375,21743.583984375,133.4400634765625,822.34423828125
NM215,Walsh Cut (alluvial placer),39a,Au,86.96943664550781,alluvial-stream,name:cut,,0.0,3363.762939453125,21597.984375,119.02749633789062,956.8829345703125
NM218,Ullrich (Judy and Deb Bench claims),39a,Au,106.01720428466797,alluvial-stream,name:bench,,0.0,2163.56689453125,21267.2265625,643.939453125,1005.6092529296875
NM219,Hot Air Bench (Columbia Mine),39a,Au,49.43424987792969,alluvial-stream,name:bench,1.0,0.0,2037.533203125,21924.87109375,101.09256744384766,302.0761413574219
NM220,Glacier Creek (includes Bonanza and Bergstrom Gulches),39a,Au,30.63284683227539,alluvial-stream,name:creek,2.0,190.3943328857422,2319.511962890625,22519.2421875,690.8765258789062,176.77670288085938
NM222,Snow Gulch,39a,Au,66.94711303710938,alluvial-stream,name:gulch,,0.0,1391.45703125,21903.48828125,582.4368286132812,522.0153198242188
NM229,Jorgensen; Mountain Creek; Mary's Gulch,"36a, 39a",Au,67.95948028564453,alluvial-stream,name:creek,1.0,0.0,1481.6943359375,23335.171875,725.9149169921875,70.71067810058594
NM236,Anvil Creek,39a,Au,41.64463806152344,alluvial-stream,name:creek,3.0,35.35533905029297,40.987403869628906,24491.443359375,1036.5665283203125,403.1128845214844
NM238,Caribou Bill,39a,Au,153.0240936279297,alluvial-stream,"narrative:alluvial=5,marine=0,glacial=1,residual=0",3.0,410.0304870605469,409.61798095703125,20492.87890625,789.1954345703125,2325.53759765625
NM239,Madeline; Mattie (upper workings),39a,Au,184.76690673828125,alluvial-stream,"narrative:alluvial=6,marine=0,glacial=1,residual=0",,535.0233764648438,532.7908935546875,20259.712890625,579.3344116210938,2087.1630859375
NM240,Mattie (lower workings),39a,Au,178.4886474609375,alluvial-stream,"narrative:alluvial=5,marine=0,glacial=1,residual=0",,610.3277587890625,608.7623291015625,20362.29296875,566.4788208007812,2101.93359375
NM241,Snowflake,39a,Au,177.71588134765625,alluvial-stream,"narrative:alluvial=5,marine=0,glacial=1,residual=0",3.0,995.6154174804688,994.238037109375,20375.55859375,386.39971923828125,1802.775634765625
NM242,Sugar,39a,Au,179.32247924804688,alluvial-stream,"narrative:alluvial=4,marine=0,glacial=1,residual=0",,1213.7236328125,1212.79345703125,20262.494140625,317.1234436035156,1573.411865234375
NM243,Gold Hill (drift mine near Dexter),39a,Au,170.43682861328125,alluvial-stream,"narrative:alluvial=4,marine=0,glacial=1,residual=0",,1185.8541259765625,1185.10302734375,20259.654296875,409.36962890625,1463.0875244140625
NM246,Dexter High Bench,39a,Au,183.7609405517578,alluvial-stream,name:bench,3.0,811.2490234375,805.9933471679688,20570.46875,613.9419555664062,2055.48046875
NM247,Summit High Bench,39a,Au,165.85325622558594,alluvial-stream,name:bench,3.0,254.9509735107422,245.60911560058594,21388.185546875,1324.0050048828125,2400.130126953125
NM248,Unnamed high-bench deposit (Dexter Creek-Dry Creek divide),39a,Au,169.408447265625,alluvial-stream,name:bench,2.0,0.0,314.3423767089844,21610.041015625,1307.4774169921875,1844.078369140625
NM249,Upper Dry Creek; Bear Creek (Gulch),39a,Au,87.0513687133789,alluvial-stream,name:creek,1.0,910.0137329101562,905.3212890625,22905.7578125,475.44866943359375,111.80339813232422
NM260,Extra Dry Creek,39a,Au,97.46749877929688,alluvial-stream,name:creek,3.0,0.0,1032.4625244140625,19752.42578125,2783.8564453125,492.4429016113281
NM261,Cooper Gulch (placer and M. Charles lode occurrence),39a,Au,131.2289276123047,alluvial-stream,name:gulch,,527.3755493164062,524.878662109375,23782.396484375,1618.430908203125,320.1562194824219
NM262,Newton Gulch,39a,Au,80.97100067138672,alluvial-stream,name:gulch,,1063.0145263671875,1062.522216796875,23177.833984375,451.93402099609375,206.15528869628906
NM264,Lower Dry Creek,39a,Au,33.09619903564453,alluvial-stream,name:creek,,3330.54052734375,3320.885009765625,25352.28515625,2720.853759765625,2448.72412109375
NM265,Deer Gulch,39a,Au,117.60330963134766,alluvial-stream,name:gulch,,637.37744140625,632.7967529296875,20728.708984375,579.5794067382812,1650.0
NM266,Grass Gulch,39a,Au,138.0706024169922,alluvial-stream,name:gulch,,335.4101867675781,331.2415466308594,21054.52734375,851.4690551757812,1932.938232421875
NM267,Nekula Gulch; Nicolai Gulch,39a,Au,138.85086059570312,alluvial-stream,name:gulch,3.0,247.4873809814453,242.20094299316406,20703.416015625,1032.5419921875,2364.4501953125
NM268,Dewey Creek,39a,Au,52.78766632080078,alluvial-stream,name:creek,,2415.703857421875,2689.616455078125,14229.666015625,5519.22216796875,745.8217163085938
NM269,Grace Gulch,39a,Au,132.68060302734375,alluvial-stream,name:gulch,,5409.078125,5139.50830078125,13640.48828125,6975.42236328125,1011.1874389648438
NM270,Union Gulch,39a,Au,76.92167663574219,alluvial-stream,name:gulch,2.0,4964.87646484375,4685.33935546875,13893.9013671875,6472.49609375,570.6356201171875
NM271,McDonald Creek,39a,Au,21.54680824279785,alluvial-stream,name:creek,1.0,3800.082275390625,3795.551513671875,23726.46875,5007.58984375,3312.947998046875
NM272,Tripple Creek,39a,Au,31.13344955444336,alluvial-stream,name:creek,,2032.547607421875,2026.4693603515625,22241.525390625,3826.348876953125,1636.497802734375
NM273,Washington Creek; Washington Gulch,39a,Au,18.57575798034668,alluvial-stream,name:creek,1.0,3476.4384765625,3465.75439453125,21478.455078125,6099.7724609375,2997.08203125
NM274,Stevens Gulch,39a,Au,12.782651901245117,alluvial-stream,name:gulch,1.0,3747.666015625,3735.908447265625,21606.208984375,6340.11328125,3276.5263671875
