ardf_num,site,model_code,comm_main,elev_m,geol_type,type_basis,coarseness_rank,geol_desc_head
NM172,Monument Creek; Poorman Bench,39a,Au,88.60913848876953,alluvial-stream,name:creek,,"The placer deposit on Monument Creek was apparently discovered after the discovery of a rich, shallow bench, called the Poorman bench, on the north side of the "
NM185,Russel Creek,39a,Au,141.4788818359375,alluvial-stream,name:creek,,"Russel Creek is a short and fairly steep creek between Monument Creek (NM172) and Sunset Creek (NM173), west tributaries to Snake River. One claim was located a"
NM205,Lindblom Creek,39a,Au,41.7310905456543,alluvial-stream,name:creek,,"Small amounts of placer gold and scheelite are present on Lindblom Creek.  Some placer gold was produced from 4- to 5-foot-thick gravels in the narrow, 25-foot-"
NM209,Rock Creek (placer),39a,Au,86.96943664550781,alluvial-stream,name:creek,3.0,"The main Rock Creek placer deposit is an alluvial placer developed in the flood plain of modern Rock Creek. The deposit was discovered by Lindeberg, Lindblom, a"
NM210,Rock Creek (bench placer),39a,Au,73.31037139892578,alluvial-stream,name:creek,,An elevated alluvial (bench) placer is partly preserved west of Rock Creek on the south part of Arsenic Hill.  The base of the channel is at an elevation of abo
NM215,Walsh Cut (alluvial placer),39a,Au,86.96943664550781,alluvial-stream,name:cut,,Two distinct alluvial fans have formed below the mouth of Walsh Cut (NM214).  The lower fan resulted from hydraulic operations in Walsh Cut.   The upper and lar
NM218,Ullrich (Judy and Deb Bench claims),39a,Au,106.01720428466797,alluvial-stream,name:bench,,"A high-level (bench) gold placer was discovered and probably mined as recently as the 1960,s.  The claims were surveyed for patent in 1976, and two were patente"
NM219,Hot Air Bench (Columbia Mine),39a,Au,49.43424987792969,alluvial-stream,name:bench,1.0,The Hot Air Bench appears to be a true bench of Glacier Creek. It is approximately 100 feet vertically above and 900 feet horizontally north of Glacier Creek. T
NM220,Glacier Creek (includes Bonanza and Bergstrom Gulches),39a,Au,30.63284683227539,alluvial-stream,name:creek,2.0,"Significant placer mining took place on Glacier Creek starting in 1900 when more than 36,000 ounces of gold were produced (Brooks and others, 1901).  Mining con"
NM222,Snow Gulch,39a,Au,66.94711303710938,alluvial-stream,name:gulch,,"This small south tributary to Glacier Creek (NM220), only about three quarters of a mile long, contained one of the richest gold placers on Seward Peninsula and"
NM229,Jorgensen; Mountain Creek; Mary's Gulch,"36a, 39a",Au,67.95948028564453,alluvial-stream,name:creek,1.0,"The placer gold  deposit in Mountain Creek, discovered in September, 1898, by E.O. Lindblom and his associates, was probably the first important placer discover"
NM236,Anvil Creek,39a,Au,41.64463806152344,alluvial-stream,name:creek,3.0,"Placer gold was discovered on lower Anvil Creek at an elevation of about 150 feet on September 22, 1898; by the end of 1898, the creek was staked between the co"
NM238,Caribou Bill,39a,Au,153.0240936279297,alluvial-stream,"narrative:alluvial=5,marine=0,glacial=1,residual=0",3.0,The Caribou Bill mine is one of several near the divide between upper Anvil Creek (NM236) and Dexter Creek (NM303) at surface elevations of about 450 to 600 fee
NM239,Madeline; Mattie (upper workings),39a,Au,184.76690673828125,alluvial-stream,"narrative:alluvial=6,marine=0,glacial=1,residual=0",,"The Madeline mine is one of several near the divide between upper Anvil Creek (NM236) and Dexter Creek (NM303) at surface elevations of about 450 to 600 feet, w"
NM240,Mattie (lower workings),39a,Au,178.4886474609375,alluvial-stream,"narrative:alluvial=5,marine=0,glacial=1,residual=0",,"The Mattie mine is one of several near the divide between upper Anvil Creek (NM236) and Dexter Creek (NM303) at surface elevations of about 450 to 600 feet, whe"
NM241,Snowflake,39a,Au,177.71588134765625,alluvial-stream,"narrative:alluvial=5,marine=0,glacial=1,residual=0",3.0,"The Snowflake mine is one of several near the divide between upper Anvil Creek (NM236) and Dexter Creek (NM303) at surface elevations of about 450 to 600 feet, "
NM242,Sugar,39a,Au,179.32247924804688,alluvial-stream,"narrative:alluvial=4,marine=0,glacial=1,residual=0",,"The Sugar mine is one of several near the divide between upper Anvil Creek (NM236) and Dexter Creek (NM303) at surface elevations of about 450 to 600 feet, wher"
NM243,Gold Hill (drift mine near Dexter),39a,Au,170.43682861328125,alluvial-stream,"narrative:alluvial=4,marine=0,glacial=1,residual=0",,"The Gold Hill mine is one of several near the divide between upper Anvil Creek (NM236) and Dexter Creek (NM303) at surface elevations of about 450 to 600 feet, "
NM246,Dexter High Bench,39a,Au,183.7609405517578,alluvial-stream,name:bench,3.0,The Dexter High Bench placer deposit is one of three similar deposits.  The others are the Summit deposit (NM247) and the deposit at the head of Dry Creek (NM24
NM247,Summit High Bench,39a,Au,165.85325622558594,alluvial-stream,name:bench,3.0,The Summit high-level bench placer mine worked a gravel deposit 600 to 800 feet wide at the surface.  The pay streak was in a 50 to 80-foot-wide bedrock channel
NM248,Unnamed high-bench deposit (Dexter Creek-Dry Creek divide),39a,Au,169.408447265625,alluvial-stream,name:bench,2.0,Auriferous high-level gravels on the Dry Creek-Dexter Creek divide are one of three closely related ancient placer deposits; the other two are at Summit (NM247)
NM249,Upper Dry Creek; Bear Creek (Gulch),39a,Au,87.0513687133789,alluvial-stream,name:creek,1.0,"Dry Creek heads in high-level, gold-bearing gravels at the saddle between upper Dry Creek and Wet Gulch (NM248). Gold in uppermost Dry Creek was mined from 2-fo"
NM250,Nome Mining District,"36a, 27d, 28a, 39a",Au,74.94187927246094,aggregate,name-aggregate:district,,The country rocks in the Nome mining district as defined by Bundtzen and others (1994) consist of three main lithostratigraphic units: an upper unit of chlorite
NM251,Nome placer field,39a,Au,35.979400634765625,aggregate,name-aggregate:placer field,1.0,The Nome placer field formed where the rich Anvil Creek alluvial placer (NM236) was reworked by marine  processes where it flowed out onto a coastal plain. An a
NM254,Nome Coastal Plain,39a,Au,12.863526344299316,aggregate,name-aggregate:coastal plain,,"Pre-Pleistocene and Pleistocene marine and terrestrial sediments, especially near the major source areas of ancestral Snake River, Anvil Creek, and Nome River, "
NM255,Present (First) Beach,"39, strandline marine placer",Au,0.0,marine-beach,name:beach,3.0,"Gold was discovered in Present Beach in 1899, about one year after the discovery of alluvial gold in Anvil and other creeks. Geologist A.H. Brooks of the U. S. "
NM258,Third Beach,39a,Au,51.6363639831543,marine-beach,name:beach,2.0,The Third Beach buried beach placer was discovered in 1904 in exploration shafts. It lies on bedrock at an elevation of about 79 or 80 feet near Little Creek (M
NM259,Fourth Beach,39a,Au,70.59638214111328,marine-beach,name:beach,,"Fourth Beach represents the farthest advance of the sea in Quaternary time, and it has been recognized only at the base of Anvil Mountain.  It formed as a true "
NM260,Extra Dry Creek,39a,Au,97.46749877929688,alluvial-stream,name:creek,3.0,"The alluvial gold placer deposit in the upper canyon of Extra Dry Creek was worked by hand and produced about 1,000 ounces of gold between 1900 and 1903 (Brooks"
NM261,Cooper Gulch (placer and M. Charles lode occurrence),39a,Au,131.2289276123047,alluvial-stream,name:gulch,,"Upper Cooper Gulch was placer mined by rocker and hydraulic methods and produced a small amount of gold between 1900 and 1916 (Cobb, 1978 [OFR 78-93]).  A small"
NM262,Newton Gulch,39a,Au,80.97100067138672,alluvial-stream,name:gulch,,"Placer mining was under way on Newton Gulch by 1900 when about 500 ounces of gold were produced (Brooks and others, 1901).  Considerable mining, including dredg"
NM264,Lower Dry Creek,39a,Au,33.09619903564453,alluvial-stream,name:creek,,"Most of Dry Creek, starting about 1 mile upstream from its mouth, is auriferous.  The placer deposit described in this record is the stretch from about Blind Gu"
NM265,Deer Gulch,39a,Au,117.60330963134766,alluvial-stream,name:gulch,,Deer Gulch is one of several small headwater tributaries of Dexter Creek (NM303) that head in areas where high-level auriferous gravels have been mined (for exa
NM266,Grass Gulch,39a,Au,138.0706024169922,alluvial-stream,name:gulch,,Grass Gulch is one of several small headwater tributaries of Dexter Creek (NM303) that head in areas where high-level auriferous gravels have been mined (for ex
NM267,Nekula Gulch; Nicolai Gulch,39a,Au,138.85086059570312,alluvial-stream,name:gulch,3.0,"Nekula Gulch heads in an area of auriferous high-level gravels that were drift mined at many places (for example, NM246). The nearby Caribou Bill mine (NM238) w"
NM268,Dewey Creek,39a,Au,52.78766632080078,alluvial-stream,name:creek,,Gold was discovered on Dewey Creek by 1900; it was in 3 feet of auriferous gravel on a sandy clay layer overlain by 1 foot of sandy blue clay and 1 foot of muck
NM269,Grace Gulch,39a,Au,132.68060302734375,alluvial-stream,name:gulch,,"Small-scale placer mining in 1902 and 1903 recovered about 60 ounces of gold from a bench along Grace Gulch (Collier and others, 1908).  This bench is a possibl"
NM270,Union Gulch,39a,Au,76.92167663574219,alluvial-stream,name:gulch,2.0,"The gravels in Union Gulch are only 10 to 20 feet wide and 30 inches thick, but they are auriferous and estimated to contain about 0.2 ounce of gold per cubic y"
NM271,McDonald Creek,39a,Au,21.54680824279785,alluvial-stream,name:creek,1.0,"McDonald Creek heads on the Nome coastal plain, and  flows across the projected trace of Third Beach (NM258).  It has been placer mined for gold downstream from"
NM272,Tripple Creek,39a,Au,31.13344955444336,alluvial-stream,name:creek,,"Tripple Creek heads in bedrock on the southeast side of Newton Peak, but it mostly flows across older parts of the Nome coastal plain and the Nome River flood p"
NM273,Washington Creek; Washington Gulch,39a,Au,18.57575798034668,alluvial-stream,name:creek,1.0,"Gold was discovered in Washington Creek by 1900.  It was reported to be fine gold accompanied by magnetite and garnet on a clay bottom (Brooks and others, 1901)"
NM274,Stevens Gulch,39a,Au,12.782651901245117,alluvial-stream,name:gulch,1.0,Fine gold on a clay false bedrock was reportedly discovered in Stevens Gulch by 1900.  The deposit apparently is similar to the one nearby on Washington Creek (
NM275,Moss Gulch,39a,Au,9.173709869384766,alluvial-stream,name:gulch,,"Placer mining for gold took place at a surface elevation of about 50 feet on lower Moss Gulch by dredging in 1911 and by open-cut in 1916 (Smith, 1912; Mertie, "
NM276,Laurada Creek,39a,Au,12.737946510314941,alluvial-stream,name:creek,,"Laurada Creek has been placer mined over most of its 1-mile length, probably at about the same time as mining on nearby Moss Gulch (NM275).  Mining may also hav"
NM279,Lillian Creek,39a,Au,45.380245208740234,alluvial-stream,name:creek,2.0,"Coarse, rough, and iron-stained (limonitic?) gold was recovered from gravel near schist bedrock on Lillian Creek.  The gravel was 3 to 10 feet thick and was cov"
NM281,Unnamed (placer mine west of Nome River),39a,Au,104.48094177246094,alluvial-stream,name:river,,Placer mine tailings at a former mine site were mapped by Bundtzen and others (1994) in an unnamed east-flowing tributary of Nome River.  Bedrock near the mine 
NM283,Grouse Gulch,39a,Au,117.78530883789062,alluvial-stream,name:gulch,3.0,Grouse Gulch heads on the divide between Dexter Creek (NM303) and upper Anvil Creek (NM236).  It is one of several small headwater tributaries of Dexter Creek t
NM285,Submarine Beach,39,"Ag, Au",16.240177154541016,marine-beach,name:beach,3.0,"Submarine Beach is the oldest recognized placer deposit that developed on the abrasion platform of the Third Beach strandline.  It is irregular, but has a crude"
NM286,Center Creek Beach,39,Au,20.079620361328125,marine-beach,name:beach,,"The Center Creek Beach deposit is a rather diffuse, east-west aligned, marine concentration of placer gold about half way from the mouth of Center Creek to Inte"
NM287,Intermediate Beach; Clam Shell Beach,39,Au,28.60601234436035,marine-beach,name:beach,,"Intermediate Beach is a buried marine abrasion platform placer deposit as much as several hundred feet wide. The gravel is 6 to 12 feet thick, with 1-3 feet of "
NM288,Bourbon Creek; Holyoke Creek,39a,Au,28.40194320678711,alluvial-stream,name:creek,,"Shallow alluvial gold deposits in Bourbon Creek and its tributary Holyoke Creek were discovered in 1900 (Brooks and others, 1901, p. 69, 83-84) and mining began"
NM295,Specimen Gulch,39a,Au,113.02396392822266,alluvial-stream,name:gulch,2.0,Specimen Gulch heads in the high-bench gravels near the Summit claim (NM247); it also crosses a major east-side bench of Anvil Creek.  Both the Summit and Anvil
NM296,Otter Creek; Florence Gulch,39a,Au,3.086009979248047,alluvial-stream,name:creek,,"Placer gold mining, including dredging at least in 1913 (Chapin, 1914), took place along lower Otter Creek.  Otter Creek reworks coastal plain deposits."
NM297,Peluk Creek,39a,Au,18.22222137451172,alluvial-stream,name:creek,2.0,"Placer gold mining has taken place in at least two locations on Peluk Creek.  Near the head of the creek, at a surface elevation of about 100 feet in the Nome C"
NM300,Irene Creek; Topaz,39a,Au,7.569199085235596,alluvial-stream,name:creek,,"Placer gold mining has occurred locally on Irene Creek dating back to a least 1916 (Mertie, 1918 [B 662-I, p. 425-449]).  Most of Irene Creek flows across older"
NM303,Dexter Creek,39a,"Ag, Au",36.63676834106445,alluvial-stream,name:creek,3.0,"Placer gold mining was underway on Dexter Creek by 1899.  About 14,500 ounces of gold were produced in 1900 (Schrader and Brooks, 1900; Brooks and others, 1901)"
NM304,Buster Creek,39a,Au,28.66387939453125,alluvial-stream,name:creek,2.0,"Gold was discovered on Buster Creek by 1900 (Schrader and Brooks, 1900 and Brooks and others, 1901).  Mining took place intermittently until 1918 and again as r"
NM310,Lower Snake River,39a,Au,5.581391334533691,alluvial-stream,name:river,1.0,"Fine gold was discovered on the bars of lower Snake River about July 28, 1898 (Schrader and Brooks, 1900).  This discovery led to further prospecting in Septemb"
NM311,Lower Snake River (upstream of the Nome airport),39a,Au,1.2000000476837158,alluvial-stream,name:river,1.0,"Fine gold was discovered on the bars of lower Snake River in 1898 (Schrader and Brooks, 1900).  This location was plotted separately by Cobb (1972 [MF 463]) and"
NM312,Nome River (2 miles below Banner Creek),39a,Au,19.660694122314453,alluvial-stream,name:river,1.0,Fine gold is commonly found on the bars of Nome River.  This site is an area where an unsuccessful dredge operation was attempted below the mouth of Banner Cree
