dataset,label_mode,arm,n_features,auc_full,d_auc_full,auc_gems,d_auc_gems,auc_placer_core,d_auc_placer_core
lode_district_36a,36a,base,15,0.6130339506172839,,0.5413356034808929,,0.7653694303440497,
lode_district_36a,36a,struct_generic,19,0.8363734567901234,0.223,0.6789987703367386,0.138,0.8936830231246474,0.128
lode_district_36a,36a,struct_named,23,0.6446851851851851,0.032,0.42230656451002646,-0.119,0.47311524722692233,-0.292
lode_district_36a,36a,struct_groves,19,0.852003086419753,0.239,0.7117503783579265,0.17,0.914363602180861,0.149
lode_district_36a,36a,struct_sharp_all,25,0.7223549382716049,0.109,0.5299020998864927,-0.011,0.6783229930438052,-0.087
lode_district_round1,round1,base,15,0.6330591397849462,,0.5398798482876996,,0.7370558375634519,
lode_district_round1,round1,struct_generic,19,0.8328727598566309,0.2,0.622234987957144,0.082,0.7687817258883249,0.032
lode_district_round1,round1,struct_named,23,0.7499086021505377,0.117,0.506976551036793,-0.033,0.6738578680203047,-0.063
lode_district_round1,round1,struct_groves,19,0.8235752688172044,0.191,0.5947163699786827,0.055,0.8077834179357022,0.071
lode_district_round1,round1,struct_sharp_all,25,0.7207347670250897,0.088,0.4920614047230143,-0.048,0.562098138747885,-0.175
