dataset,arm,n_features,auc_full,d_auc_full,auc_dighem,d_auc_dighem,auc_gems,d_auc_gems,auc_both,d_auc_both,auc_placer_core
placer_onshore,base,10,0.6785769230769231,,0.6033179286645337,,,,,,
placer_onshore,mag,14,0.6183846153846154,-0.06,0.5173302523995734,-0.086,,,,,
placer_onshore,res,13,0.6732,-0.005,0.6019018841094916,-0.001,,,,,
placer_onshore,geophys,17,0.6509653846153847,-0.028,0.5645100130347198,-0.039,,,,,
lode_inbox,base,10,0.805925,,0.7599541809851089,,0.7671124157425526,,0.7579044969865554,,
lode_inbox,mag,14,0.7916833333333334,-0.014,0.7414776632302407,-0.018,0.7491519895629485,-0.018,0.7396267964765879,-0.018,
lode_inbox,res,13,0.8087333333333333,0.003,0.759770904925544,-0.0,0.7656990650141335,-0.001,0.7575220213259155,-0.0,
lode_inbox,geophys,17,0.8575999999999999,0.052,0.8180183276059565,0.058,0.824635790389215,0.058,0.8164696337505796,0.059,
lode_inbox,struct,14,0.7504416666666667,-0.055,0.7077777777777778,-0.052,0.7110784953250706,-0.056,0.7057023643949931,-0.052,
lode_inbox,geophys_struct,21,0.836325,0.03,0.7884536082474227,0.028,0.7971732985431617,0.03,0.7868103847936949,0.029,
lode_district,base,15,0.6330591397849462,,0.5471436677707544,,0.5398798482876996,,0.5356710833544321,,0.7370558375634519
lode_district,mag,19,0.7395394265232975,0.106,0.4895881444727431,-0.058,0.4907325378588633,-0.049,0.4835921456100374,-0.052,0.6561759729272421
lode_district,res,18,0.8083530465949821,0.175,0.5738529143958089,0.027,0.5726170371805874,0.033,0.5668059189242411,0.031,0.7420473773265652
lode_district,geophys,22,0.8134050179211469,0.18,0.5779371593713298,0.031,0.5812685141607374,0.041,0.5756674262244352,0.04,0.7428087986463621
lode_district,struct,19,0.8478010752688173,0.215,0.6592723577772206,0.112,0.6457323994352315,0.106,0.6405814836695078,0.105,0.7670050761421321
lode_district,geophys_struct,26,0.8178799283154122,0.185,0.6442286121484844,0.097,0.6338487306552976,0.094,0.6292092159675922,0.094,0.7539763113367175
