name,type,basis,x,y,deposit_codes,dist_to_newton_pt_mi,dist_to_36a_lode_m,dist_to_contact_m,dist_to_newton_axis_m,dist_to_newton_pt_m
Nome Offshore Placer deposits,abrasion_platform,Inner/Outer Submarine paystreak on the wave-cut bedrock platform,-549543.9389266425,1662921.8713034443,,6.86,7779.1,6942.8,4630.6,11037.0
Lower Snake River (upstream of the Nome airport),upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-548607.6073417724,1665295.4656668988,39a,5.76,5298.2,4439.2,2298.0,9273.7
Russel Creek,upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-548373.5679659575,1673307.7508664897,39a,6.32,2242.7,321.7,5697.7,10164.8
Monument Creek; Poorman Bench,upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-548211.0749918374,1673653.0677572067,39a,6.35,1928.7,159.5,6035.9,10215.2
Submarine Beach,abrasion_platform,Inner/Outer Submarine paystreak on the wave-cut bedrock platform,-547848.5612447775,1663951.0004920114,39,5.63,6061.3,5274.3,3672.8,9059.8
Nome Coastal Plain,broad_ambiguous,district-wide / unlocatable summary record,-547237.1074968543,1666619.271565093,39a,4.74,3421.8,2588.1,1032.3,7630.3
Lower Snake River,upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-546591.937764663,1663109.1636732216,39a,5.23,6483.9,5686.6,4566.1,8409.1
Present (First) Beach,strandline_beach,"modern marine strandline (winnowed, fine gold + black sand)",-546075.6892802026,1662294.5705555682,39,5.29,7012.0,6212.1,5401.5,8512.6
Center Creek Beach,abrasion_platform,Hudson 2006 L50: Center 'beach' on the abrasion platform,-545277.735844887,1663718.8396081387,39,4.34,5596.5,4587.5,4011.6,6988.9
Monroeville Beach,abrasion_platform,Hudson 2006 L50: abrasion platform on bedrock,-544693.3014853046,1665599.2082657092,,3.42,3928.6,2633.2,2157.1,5501.5
Lindblom Creek,upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-544521.5280462416,1675874.2814133815,39a,5.75,476.5,337.4,8102.0,9249.7
Anvil Creek,upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-544347.1719440047,1669219.4890010294,39a,2.98,1033.0,415.8,1445.7,4788.2
