name,type,basis,x,y,coordinate
Nome Offshore Placer deposits,abrasion_platform,Inner/Outer Submarine paystreak on the wave-cut bedrock platform,-549543.9389266425,1662921.8713034443,kg
Lower Snake River (upstream of the Nome airport),upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-548607.6073417724,1665295.4656668988,kg
Russel Creek,upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-548373.5679659575,1673307.7508664897,kg
Monument Creek; Poorman Bench,upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-548211.0749918374,1673653.0677572067,kg
Submarine Beach,abrasion_platform,Inner/Outer Submarine paystreak on the wave-cut bedrock platform,-547848.5612447775,1663951.0004920114,kg
Nome Coastal Plain,broad_ambiguous,district-wide / unlocatable summary record,-547237.1074968543,1666619.271565093,kg
Lower Snake River,upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-546591.937764663,1663109.1636732216,kg
Present (First) Beach,strandline_beach,"modern marine strandline (winnowed, fine gold + black sand)",-546075.6892802026,1662294.5705555682,kg
Center Creek Beach,abrasion_platform,Hudson 2006 L50: Center 'beach' on the abrasion platform,-545277.735844887,1663718.8396081387,kg
Monroeville Beach,abrasion_platform,Hudson 2006 L50: abrasion platform on bedrock,-544693.3014853046,1665599.2082657092,kg
Lindblom Creek,upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-544521.5280462416,1675874.2814133815,kg
Anvil Creek,upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-544347.1719440047,1669219.4890010294,kg
Jorgensen; Mountain Creek; Mary's Gulch,upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-544243.5893191859,1671579.5222877408,kg
Nome placer field,broad_ambiguous,district-wide / unlocatable summary record,-544120.3887505902,1666937.9979860564,kg
Intermediate Beach; Clam Shell Beach,abrasion_platform,Hudson 2006 L50: abrasion platform on bedrock,-544045.3574161929,1664365.7796491627,kg
"Center Creek and Flat, Saturday and  Wonder Creeks",broad_ambiguous,composite of Center flat + upland creeks; not a single beach unit,-543972.6847222338,1665768.6794734297,kg
Glacier Creek (includes Bonanza and Bergstrom Gulches),upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-543905.0176230733,1672913.5328069685,kg
Rock Creek (bench placer),upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-543744.6533543207,1674731.4050079726,kg
Rock Creek (placer),upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-543516.0219858846,1674510.5251670578,kg
Walsh Cut (alluvial placer),upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-543514.1134760346,1674521.5170403821,kg
Sophie Gulch (Rock Creek),upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-543405.2618891078,1674729.0826371883,kg
Hot Air Bench (Columbia Mine),upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-543323.7617642138,1673016.4621585123,kg
Bourbon Creek; Holyoke Creek,upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-543257.166173678,1664784.1883386087,kg
Fourth Beach,broad_ambiguous,raised beach above Third; not typed by Hudson 2006,-543190.7028735426,1667558.2399494855,kg
Nome Mining District,broad_ambiguous,district-wide / unlocatable summary record,-543091.0861029025,1670575.6106205091,kg
Snow Gulch,upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-543044.6774312216,1672413.2299982477,kg
Cooper Gulch (placer and M. Charles lode occurrence),upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-542846.1751758726,1668087.4085194012,kg
Ullrich (Judy and Deb Bench claims),upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-542812.5848906928,1673527.9349334529,kg
Specimen Gulch,upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-542434.4588903986,1670326.0313841393,kg
Third Beach,strandline_beach,"Hudson 2006 L51: strandline beach, garnet + black-sand rich",-542400.266336276,1666221.2640223287,kg
Peluk Creek,upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-542182.7566348291,1661586.6161149608,kg
Lower Dry Creek,upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-541713.5108882156,1663940.0650827284,kg
Summit High Bench,upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-541431.9307141668,1670390.471052651,kg
Nekula Gulch; Nicolai Gulch,upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-541337.1560616471,1671642.1667319394,kg
Upper Dry Creek; Bear Creek (Gulch),upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-541234.3123733676,1667310.7146697268,kg
Caribou Bill,upland_residual,named creek/gulch/bench: residual/alluvial upland placer,-541096.6000083942,1671600.6142951099,kg
