slug,name,deposit_type,type_canon,coordinate_source,x_3338,y_3338,n_ms_matched,match_spread_m,best_confidence,matched_ms,matched_claims,source_pages
albany_locality_a,Albany and claims to the east (Locality A),unknown,broad_ambiguous,pinpoint_needed,,,1,,rejected,338,Aspen,81;86;87;88
faystrook_theaveries_locality_b,Faystrook and Theaveries claims (near Locality B),abrasion-platform,abrasion_platform,pinpoint_needed,,,0,,,,,81;83
map_a_general,Map A Area (general features and total production),unknown,broad_ambiguous,pinpoint_needed,,,2,4843.9,rejected,1852;1840,Snake River;South Fork,79;80
odin_say_submarine,Odin and Bay (Say) claims / Submarine Beach western extension (Locality D),abrasion-platform,abrasion_platform,pinpoint_needed,,,1,,rejected,1304,Saturday,81;82;83;84;85
olga_beachline,Olga beachline (Localities C and H),true-beach,strandline_beach,pinpoint_needed,,,0,,,,,81;83;88
penny_river,Penny River Valley,unknown,broad_ambiguous,pinpoint_needed,,,0,,,,,89;90
present_beach,Present Beach (Map A coastline),true-beach,strandline_beach,pinpoint_needed,,,1,,rejected,1852,Snake River,81;86
second_beach,Second Beach and its offshore / sloughover deposit,true-beach,strandline_beach,pinpoint_needed,,,0,,,,,81;85;86
sunset_dredge,"Sunset dredge (Sunset Dredging Co. / Alaska Sunset Mines Inc., 1934-1939)",upland-residual,upland_residual,pinpoint_needed,,,0,,,,,81;88
sunset_third_beach,Sunset Area drift mining (Third Beach / Evening Gulch),upland-residual,upland_residual,pinpoint_needed,,,0,,,,,81;88;89
bear_cub_claim_third_beach,"Bear Cub claim (between Dry Creek and Newton Creek), Third Beach",true-beach,strandline_beach,ms_join,-541111.2,1665059.1,1,0.0,high_curated,1178,Bear Cub,121
center_creek_beach,Center Creek Beach,abrasion-platform,abrasion_platform,pinpoint_needed,,,2,5473.2,rejected,1288;2300,Belle;North Star,100;101
discovery_creek_eskimo_chief,"Discovery Creek (Eskimo Chief) claim, Dry Creek",true-beach,strandline_beach,pinpoint_needed,,,0,,,,,120
dry_creek_fan_north_of_third_beach,"Dry Creek Fan, North of Third Beach",upland-residual,upland_residual,ms_join,-541767.6,1666575.0,1,0.0,high_curated,1180,Early Bear,104
dry_creek_left_limit_bench,Dry Creek Left Limit Bench (Prague / Nellie B / Belle Kirk),upland-residual,upland_residual,pinpoint_needed,,,0,,,,,105
florence_gulch_otter,Florence Gulch (tributary of Otter Creek),upland-residual,upland_residual,pinpoint_needed,,,0,,,,,110
happy_new_years,"Happy New Years claim, Third Beach",true-beach,strandline_beach,ms_join,-539077.8,1664274.1,1,0.0,high_curated,1113,Happy New Years,120
head_of_otter_creek_1901_drift,Head of Otter Creek 1901 drift mine (Maloney ground),upland-residual,upland_residual,pinpoint_needed,,,3,1975.2,rejected,1138;1113;499,Owl Association;Happy New Year;Riverside,126
hope_no2_big_chief_preeminent,"Hope No. 2 (Big Chief) and Preeminent / Freecourt claims, Third Beach",true-beach,strandline_beach,pinpoint_needed,,,0,,,,,121
hope_no3_mcdonald_isolated,"Hope No. 3 southeast-corner dump and east-west bedrock trend, between Otter and McDonald Creeks",abrasion-platform,abrasion_platform,pinpoint_needed,,,0,,,,,121;123
intermediate_beach,Intermediate Beach,abrasion-platform,abrasion_platform,pinpoint_needed,,,4,3332.7,rejected,1155;488;1225;1356,Linda;Corning;Ruby;Arctic Association,102
jupiter_claim,"Jupiter claim, Third Beach",true-beach,strandline_beach,ms_join,-538907.8,1663555.6,1,0.0,high_curated,1217,Jupiter,121
laura_gulch_area,Laura Gulch Area,abrasion-platform,abrasion_platform,pinpoint_needed,,,2,2402.5,rejected,1215;675,Plutus;Cyrus Noble,102;103;104
left_limit_lower_otter_marine_bedrock,Left limit of lower Otter Creek (near-bedrock marine concentration),abrasion-platform,abrasion_platform,pinpoint_needed,,,0,,,,,111
lower_bourbon_dry_creeks,Lower Bourbon and Dry Creeks,upland-residual,upland_residual,pinpoint_needed,,,0,,,,,101;102
lower_otter_creek_left_limit,"Left Limit of Lower Otter Creek (incl. J. F. Plein dredge, Florence Gulch)",upland-residual,upland_residual,pinpoint_needed,,,0,,,,,110;111
lower_otter_creek_nome_river_drilling,Lower Otter Creek and Nome River Drilling (overlap into Map B part 2),upland-residual,upland_residual,pinpoint_needed,,,0,,,,,111
lower_otter_creek_plein_dredge,"Lower Otter Creek (Plein dredge ground, Claim No. 4 Above to mouth)",upland-residual,upland_residual,ms_join,-538258.5,1664768.6,1,0.0,high_curated,1138,Lower Otter Creek,110
lower_poluk_creek_thawed_shallow,Poluk (Peluk) Creek shallow thawed ground,true-beach,strandline_beach,pinpoint_needed,,,0,,,,,110;116
map_b_general_features,Map B Area — General Features and Coastal Plain,unknown,broad_ambiguous,pinpoint_needed,,,0,,,,,91;92
map_b_gold_distribution,"Map B Area — Gold Distribution, Source and Origin",abrasion-platform,abrasion_platform,pinpoint_needed,,,1,,rejected,1202,Mutt,94;95;96
map_b_productive_areas_overview,Map B Area — Productive Areas and Mining History Overview,unknown,broad_ambiguous,ms_join,-538258.5,1664768.6,5,7664.0,high_curated,1371;1229;1138;1220;1356,O. C. Association;Holyoke Creek;Lower Otter Creek;Black Hawk;Arctic,92;93
no_9_otter_creek,"No. 9 Otter Creek claim, Third Beach",true-beach,strandline_beach,ms_join,-539165.5,1663670.6,1,0.0,high_curated,327,No. 9 Otter,121;123
nome_river_deep_channel,"Nome River deep bedrock channel (Lines 1, 5, 10)",upland-residual,upland_residual,pinpoint_needed,,,0,,,,,115
north_pole_happy_beach,"North Pole and Happy Beach claims, Third Beach",true-beach,strandline_beach,pinpoint_needed,,,1,,rejected,1232,North Pole,120
offshore_beach,Offshore: the Offshore Beach (a buried strandline below present sea level),true-beach,strandline_beach,pinpoint_needed,,,0,,,,,128;129
offshore_beach_abrasion_platform,Offshore: the Offshore Beach abrasion platform,abrasion-platform,abrasion_platform,pinpoint_needed,,,0,,,,,128
offshore_deep_bedrock_channels,Offshore: seaward extensions of the deep bedrock channels of Nome and Snake Rivers,upland-residual,upland_residual,pinpoint_needed,,,0,,,,,128;129
offshore_present_beach_abrasion_platform,Offshore: Present Beach abrasion platform,abrasion-platform,abrasion_platform,pinpoint_needed,,,0,,,,,128;129
offshore_submarine_extension,Offshore: Submarine concentration extension (and bedrock beneath),abrasion-platform,abrasion_platform,pinpoint_needed,,,0,,,,,129
otter_creek_deep_channel_block_c,Otter Creek deep bedrock channel concentration (Block C),upland-residual,upland_residual,pinpoint_needed,,,0,,,,,115
otter_nome_combined_500k_reserve,North American Mines Second Beach + lower Otter Creek combined reserve,unknown,broad_ambiguous,pinpoint_needed,,,0,,,,,115
otter_nome_marine_bedrock_blocks_bd,"Near-bedrock marine (abrasion-platform) concentration, Lines 55-43 (Blocks B and D)",abrasion-platform,abrasion_platform,pinpoint_needed,,,0,,,,,113
peluk_creek_shallow_reconcentration,Peluk Creek — Shallow Reconcentration,upland-residual,upland_residual,pinpoint_needed,,,0,,,,,109;110
rohn_open_cut_dry_creek,"E. Rohn Open Cut, Right Limit Dry Creek (No. 8 Below)",upland-residual,upland_residual,pinpoint_needed,,,0,,,,,103
roosevelt_golden_bull_bon_voyage,"Roosevelt and Golden Bull claims (formerly Bon Voyage), Third Beach",true-beach,strandline_beach,ms_join,-541005.0,1663875.8,1,0.0,high_curated,1209,Golden Bull,121
second_beach_dry_creek_to_nome_harlan,Second Beachline between Dry Creek and Nome River (Harlan estimate),true-beach,strandline_beach,pinpoint_needed,,,0,,,,,116
second_beach_exploration,Second Beach — Past Exploration and Sampling (Map B),true-beach,strandline_beach,pinpoint_needed,,,1,,rejected,440,Valhalla,108;109
second_beach_general,Second Beach — General Features and Setting (Map B),true-beach,strandline_beach,pinpoint_needed,,,1,,rejected,440,Valhalla,105;106
second_beach_gold_distribution,Second Beach — Gold Distribution and Sloughover (Map B),true-beach,strandline_beach,pinpoint_needed,,,0,,,,,106;107
second_beach_otter_nome_drilling,"Second Beach concentration (Otter Creek-Nome River drilling, Block A)",true-beach,strandline_beach,pinpoint_needed,,,0,,,,,113
second_beach_production,"Second Beach — Past Production (Map A, B, C aggregate)",true-beach,strandline_beach,pinpoint_needed,,,0,,,,,108
second_beach_sloughover_abbey_cut,"Second Beach sloughover concentration (Abbey cut / Carrington drilling, west of Peluk Creek)",abrasion-platform,abrasion_platform,pinpoint_needed,,,0,,,,,116;117
snake_river_channel,Snake River Channel,upland-residual,upland_residual,pinpoint_needed,,,0,,,,,99;100
submarine_beach,Submarine Beach,abrasion-platform,abrasion_platform,pinpoint_needed,,,5,5668.0,rejected,671;1358;1339;1301;2315,Wisconsin;Viola;Arthur-Broncho;Forsells Association;Submarine,96;97;98;99
third_beach_capital_laura_beach_upper_gravel,"Capital / Laura Beach claims upper-gravel concentration (Newton Gulch, Dry Creek fan)",true-beach,strandline_beach,pinpoint_needed,,,1,,rejected,1232,North Pole,119;122
third_beach_newton_gulch_channel,Newton Gulch bedrock channel into the Third Beach (Crabtree drift mine),upland-residual,upland_residual,ms_join,-540824.5,1664819.6,1,0.0,high_curated,1166,No. 4 B. Newton,119;123;124
third_beach_newton_to_mcdonald_general,"Third Beach, Newton Gulch to McDonald Creek (beachline general / production)",true-beach,strandline_beach,ms_join,-538907.8,1663555.6,2,1151.9,high_curated,1232;1217,North Pole;Jupiter,117;118;120;124
third_beach_sloughover_offshore,Third Beach sloughover / offshore deposit (south of beachline),abrasion-platform,abrasion_platform,ms_join,-541005.0,1663875.8,2,263.2,high_curated,1209;1215,Golden Bull;Plutus,119;122
tripple_creek_right_limit_channel,Tripple Creek right-limit channel (drift-mine production),upland-residual,upland_residual,pinpoint_needed,,,0,,,,,124;125
