v3_col,v3_row,rot_col,rot_row
3441.43,3748.49,1252.12,6114.25
3441.43,3748.49,1252.12,6114.25
17699.72,3558.76,10653.91,2592.62
4022.64,3967.10,1757.80,6325.00
4095.83,2474.59,1006.84,3969.43
4146.88,3870.30,1785.73,6150.68
4256.08,2497.94,1125.38,3971.44
17056.13,3480.47,10185.98,2616.89
4319.87,2492.34,1165.57,3947.65
4338.07,3737.19,1842.50,5896.28
16914.00,3483.11,10088.44,2652.25
4476.65,2196.89,1109.12,3453.76
4485.72,2463.08,1257.94,3866.89
4485.72,2463.08,1257.94,3866.89
4590.44,5316.99,2865.18,8315.08
16488.08,3315.22,9717.81,2487.79
5024.73,3518.36,2180.39,5399.07
5129.71,3230.92,2100.28,4927.16
5129.71,3230.92,2100.28,4927.16
5206.81,2504.73,1758.57,3772.54
5516.77,6082.62,3895.71,9308.49
5621.24,2336.66,1951.58,3410.86
14959.67,3084.57,8575.80,2473.63
5812.76,4285.72,3119.94,6421.27
14779.09,2903.22,8363.25,2232.41
5861.32,2434.84,2158.85,3511.47
14742.49,2966.49,8371.70,2336.44
14640.69,2769.35,8193.91,2050.72
14578.10,3365.94,8467.72,2997.74
14534.66,2822.14,8156.80,2160.10
14471.67,2790.40,8094.77,2124.24
6064.14,2605.34,2388.12,3732.11
6090.66,6189.19,4334.28,9346.30
14278.38,6985.93,10219.20,8738.93
6264.42,2313.85,2363.63,3231.23
6272.00,2337.76,2381.88,3267.01
6284.00,4876.41,3756.02,7244.08
6361.43,2472.65,2513.15,3457.57
13931.90,6857.52,9918.06,8611.69
6657.66,1593.10,2241.87,2013.73
6818.16,2346.33,2751.56,3157.85
6818.16,2346.33,2751.56,3157.85
6839.83,2376.41,2781.76,3199.13
6839.83,2376.41,2781.76,3199.13
6911.38,2425.66,2854.56,3259.44
6912.39,2426.97,2854.56,3259.44
6913.86,1871.10,2559.32,2391.91
6988.60,2313.43,2843.83,3063.28
13093.45,2574.15,7055.65,2092.18
13073.87,2459.81,6987.74,1924.14
13055.12,2889.83,7198.38,2597.33
7096.01,2371.66,2946.27,3132.39
7112.41,2313.95,2930.45,3041.28
7114.49,5580.50,4684.65,8156.58
12820.98,2647.06,6918.27,2273.26
7254.67,2024.09,2869.70,2554.57
12771.86,2569.92,6841.15,2157.85
12770.53,3040.53,7090.09,2894.68
12725.11,3173.07,7129.22,3115.74
12701.16,6961.30,9157.32,9058.78
12634.12,6917.63,9086.90,9009.02
12630.81,2252.89,6581.52,1699.25
12630.81,2252.89,6581.52,1699.25
12554.89,3138.38,6997.83,3098.00
7518.50,2711.72,3415.52,3577.44
7627.57,1980.90,3090.64,2401.33
12248.19,2792.47,6610.44,2625.93
12121.63,2903.71,6587.30,2828.00
12021.85,2897.99,6516.21,2845.35
11988.94,2525.74,6296.25,2272.78
7974.83,5582.95,5256.80,7964.40
11668.81,2965.63,6312.09,3032.07
11590.13,6488.82,8161.35,8568.05
11539.00,6321.50,8035.37,8319.24
11509.92,2791.51,6114.25,2796.95
11509.92,2791.51,6114.25,2796.95
11429.68,2774.74,6057.84,2784.55
8593.33,1781.87,3627.14,1869.69
10990.62,3063.12,5913.55,3334.98
10882.47,6791.92,7853.17,9203.14
8742.98,2607.25,4176.83,3129.32
8862.50,6261.07,6220.78,8828.06
10636.82,2826.19,5552.98,3043.33
10634.73,6216.55,7375.78,8356.23
10634.73,6216.55,7375.78,8356.23
10615.93,2792.26,5523.52,2996.45
10519.81,2903.81,5521.98,3191.80
10481.72,6496.70,7427.47,8828.19
10435.59,2718.32,5360.79,2920.85
9192.87,2807.75,4578.78,3343.42
9193.54,2808.19,4578.78,3343.42
9216.98,2495.86,4430.12,2852.78
10114.08,6526.36,7200.61,8964.12
9891.32,6502.24,7034.32,8967.46
9838.33,1979.62,4566.72,1895.87
9798.40,6493.06,6972.64,8981.79
9502.35,2850.07,4813.91,3343.92
9572.74,2172.60,4494.33,2263.36
12182.08,2740.48,6539.77,2565.11
15451.54,7828.55,11452.88,9795.63
6349.69,2408.49,2473.75,3365.32
6321.85,2258.94,2372.98,3132.20
11005.35,6835.33,7954.84,9246.77
13435.95,3140.44,7584.73,2905.14
11473.82,2722.57,6056.32,2695.45
13284.55,3009.04,7417.31,2732.00
6145.49,1731.64,1972.60,2346.98
11314.68,2808.38,5996.33,2861.61
7017.67,2100.56,2751.71,2725.44
13233.25,3234.64,7503.49,3094.21
12554.19,3181.74,7022.06,3164.83
12554.19,3181.74,7022.06,3164.83
