v3_col,v3_row,rot_col,rot_row
20188.90,7518.76,14731.32,8772.48
19331.70,7524.00,14155.94,8956.73
19276.30,7488.10,14097.14,8908.99
18924.83,7427.87,13825.50,8884.20
18292.58,7677.92,13541.40,9421.06
17337.24,4212.04,10908.54,3938.74
17180.87,4296.72,10851.48,4109.00
16955.17,4440.06,10778.69,4388.03
16763.76,4456.23,10656.60,4452.48
15310.10,4748.42,9838.94,5220.91
15141.31,4789.24,9751.25,5319.17
15019.06,5119.72,9857.63,5885.87
14334.26,5658.48,9698.30,6904.69
14305.58,5724.10,9722.54,7022.72
13420.31,5344.81,8904.60,6576.41
11762.08,6058.06,8184.83,8081.16
11758.79,6045.69,8178.16,8060.76
10629.03,5873.35,7307.00,8005.38
9732.91,5604.42,6551.34,7743.71
8700.65,5352.64,5704.84,7541.79
8695.12,5309.70,5679.56,7470.85
8695.12,5309.70,5679.56,7470.85
21158.88,5870.47,14444.38,5877.30
19684.64,7728.66,14510.61,9214.20
19448.46,7572.41,14263.71,9010.47
19127.88,4194.73,12112.98,3552.55
18827.14,7565.84,13838.16,9128.66
17398.96,4214.78,10952.60,3928.15
17381.45,4173.20,10920.11,3864.93
17210.33,4235.63,10836.36,4005.95
17007.92,4469.38,10831.09,4423.93
16476.29,4582.35,10533.03,4714.35
16189.88,4598.62,10351.98,4797.79
11447.79,5741.05,7790.01,7624.60
