v3_col,v3_row,rot_col,rot_row
23003.00,5670.16,16244.14,5152.86
2650.73,3938.15,1111.16,6911.63
22105.60,7273.56,16503.80,8011.78
21546.13,6143.84,15491.71,6267.61
21546.13,6143.84,15491.71,6267.61
3379.85,3669.92,1464.32,6301.26
20521.20,4476.21,13852.57,3741.96
20487.49,7594.18,15559.36,8915.36
20372.99,5677.92,14413.65,5762.95
20353.31,3996.82,13468.67,2981.53
20342.26,5742.80,14427.59,5874.31
20342.26,5742.80,14427.59,5874.31
20230.24,3796.56,13274.26,2681.37
20182.57,6011.05,14463.48,6354.61
19992.43,4704.32,13611.93,4231.21
19992.43,4704.32,13611.93,4231.21
19960.43,3295.55,12805.74,1911.30
19867.22,3239.37,12711.33,1841.11
19833.73,4695.77,13493.18,4259.05
19808.60,3232.67,12665.92,1842.46
19303.31,2647.65,11989.47,987.66
19303.31,2647.65,11989.47,987.66
19257.01,4707.01,13097.26,4408.48
19137.20,2414.69,11742.40,635.42
18987.25,4689.85,12902.74,4434.91
18621.29,4668.93,12629.58,4491.37
18433.54,4464.09,12389.67,4191.20
18156.73,4755.26,12354.36,4736.82
17850.78,2801.46,11059.07,1570.98
17850.78,2801.46,11059.07,1570.98
17747.42,5148.81,12288.34,5479.20
17739.19,4812.33,12095.86,4925.36
17181.75,4925.83,11774.18,5239.79
17160.65,4906.74,11744.30,5216.34
17154.13,4321.67,11416.47,4246.48
16985.98,4844.38,11596.35,5154.59
16879.16,2648.29,10295.90,1535.58
16879.16,2648.29,10295.90,1535.58
16234.18,4314.36,10771.26,4442.02
16188.89,3121.00,10083.79,2472.38
6046.22,2989.70,2943.38,4562.85
15869.29,6147.12,11536.70,7566.83
15787.54,6366.45,11599.05,7943.52
15769.63,3208.37,9832.97,2719.06
15685.03,2746.06,9517.72,1969.72
15241.22,5608.01,10798.83,6809.02
14671.91,4198.11,9620.17,4606.80
14340.77,3621.03,9070.64,3722.83
14076.00,3868.27,9021.15,4196.59
13944.68,6810.45,10564.85,9098.61
13944.68,6810.45,10564.85,9098.61
13881.75,4050.14,8989.78,4535.29
13720.23,4224.67,8970.28,4868.45
13371.14,4287.71,8767.66,5046.47
13308.62,4418.89,8793.17,5281.88
13290.92,5239.33,9238.40,6643.21
8067.01,3763.08,4785.64,5390.02
13277.65,4435.34,8780.76,5316.46
13217.87,5245.29,9188.43,6672.09
13190.55,5212.38,9157.00,6619.53
12804.94,4907.46,8715.18,6205.60
12783.49,4957.59,8728.91,6300.24
12618.17,4501.60,8361.49,5576.77
12183.99,5425.28,8573.06,7204.66
12167.19,5429.66,8563.48,7216.69
12102.92,4922.95,8236.19,6388.99
12102.92,4922.95,8236.19,6388.99
12085.95,4736.82,8120.15,6087.91
12038.11,4888.88,8171.93,6347.10
11988.61,4901.11,8145.11,6381.52
11971.54,4915.46,8143.02,6405.90
11943.23,3137.26,7133.73,3462.77
11848.39,5541.11,8401.10,7479.41
11848.39,5541.11,8401.10,7479.41
11703.35,5465.30,8261.19,7381.48
11689.34,4721.84,7840.31,6149.20
9233.27,3539.35,5470.93,4752.00
9248.72,3596.14,5516.97,4840.49
11513.59,4062.76,7343.90,5101.76
11405.16,5752.52,8212.62,7927.10
11394.59,3952.61,7201.60,4943.72
11334.36,5722.77,8147.21,7890.18
11247.25,3754.16,6993.50,4653.87
11234.05,5861.41,8154.97,8145.67
11140.26,3845.76,6971.47,4828.96
11104.83,3787.84,6909.04,4735.70
11101.99,3721.97,6874.57,4632.31
11099.30,6093.37,8190.51,8560.80
10677.37,5358.21,7487.60,7441.25
10659.78,3637.22,6514.92,4590.47
10637.12,5580.18,7585.91,7815.18
17664.46,3299.73,11208.84,2441.70
20077.29,4621.68,13623.81,4077.91
20168.50,5927.77,14405.80,6226.32
21565.43,5120.71,14936.31,4571.70
21921.88,3377.48,14215.47,1595.85
12047.32,3138.82,7202.38,3447.32
9249.96,3497.72,5463.13,4678.75
17418.48,4621.99,11772.83,4680.58
17456.05,4654.85,11809.63,4730.69
17481.85,4613.53,11811.74,4653.40
17582.22,4596.87,11874.98,4602.81
11944.32,3520.23,7344.56,4101.22
19349.07,2666.57,12030.75,1002.08
2936.25,3544.61,1092.75,6194.22
14825.45,4623.41,9962.08,5279.15
12320.92,3069.76,7356.33,3267.79
4086.56,3797.36,2028.38,6353.41
17648.40,2844.56,10944.54,1688.11
19076.53,5225.07,13261.17,5305.94
15323.58,7028.44,11644.39,9150.77
6281.28,3260.09,3255.22,4959.26
20098.51,3679.49,13117.61,2514.43
20062.26,3544.55,13015.81,2297.15
13543.92,2127.18,7688.86,1433.37
17285.50,2939.06,10743.50,1928.06
