v3_col,v3_row,rot_col,rot_row
15806.24,2351.02,9234.67,1604.69
15772.96,2369.76,9219.40,1643.20
15715.22,2338.37,9167.19,1611.47
15715.22,2338.37,9167.19,1611.47
15656.22,2305.67,9112.59,1578.19
15553.96,2526.99,9148.04,1955.72
15545.40,2377.34,9072.25,1720.12
15430.79,2116.34,8865.96,1329.69
15262.28,3281.80,9312.10,3229.94
14967.37,2767.38,8865.58,2489.31
14924.97,2803.38,8855.03,2557.08
14826.08,2871.61,8819.45,2688.12
14805.09,2879.25,8807.47,2707.86
14569.31,3055.96,8731.38,3048.49
14425.50,3541.06,8867.21,3856.25
13944.89,3730.24,8629.55,4279.34
13601.14,3877.21,8465.09,4599.96
13567.31,3884.33,8442.16,4621.53
14217.88,3396.60,8652.37,3679.13
14099.20,3386.67,8567.33,3690.88
14097.01,3654.26,8694.25,4126.01
13905.64,3721.70,8592.93,4274.24
13848.28,3788.26,8590.99,4392.38
14572.33,3042.00,8725.67,3027.61
14738.19,2925.03,8784.90,2796.48
14819.47,3363.47,9050.15,3473.21
15301.37,3406.73,9400.13,3418.00
15319.82,2956.93,9193.32,2698.26
14389.46,3357.11,8753.88,3572.90
13807.47,3920.62,8627.19,4614.71
14603.28,3012.09,8731.29,2968.04
14684.58,3438.57,8992.17,3632.58
14742.46,3491.67,9058.48,3698.92
15220.23,3366.96,9326.84,3375.86
15024.66,3392.04,9201.03,3469.12
